userAddress,poolAddress,tokenAddress,blockNumber,balance,timestamp
0x06a587e8066f59833b0363b39e045098e69bdeeb,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,164059447052710100,1713146329
0x06a5d15e1819488c40df4a312511bfcf2d7443e6,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,0,1713146329
0x06ba4f44df95b40fecfad4393b555ee6f832f858,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,70281460143100,1713146329
0x06ba4f44df95b40fecfad4393b555ee6f832f858,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,29557523978320,1713146329
0x06c6c199d8fb1d5f68daac1f1d9ad9f6cc23db8a,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,36035435839680814,1713146329
0x06d1acdd28c1212988adaaf16f2a7c67c9258109,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,237725657366378799,1713146329
0x070330e027a3e4327ba69f0c8a1885df4b545837,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,28175418700346329,1713146329
0x0714e3963f288205b0a30dacd1c92cebf6dfff28,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,65534719188794234,1713146329
0x0735ba2cde95a55e02a4f01b63211a487c884935,0x9f4baa696954ea954090231a582d535854b1b40e,0xf5d3953a33f78e0412a8988fd77b4920aa968b0b,600000,291075101283532874472,1713146329
0x07546639ff45d8370c0adb8546deab507b29c5c3,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,0,1713146329
0x077b92b8f8903712e95e8b0741107eaa5a4a056f,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,157887237052779840,1713146329
0x07854877f8a6ea542a29a963bf040ccf63d3a893,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,154085671172018174,1713146329
0x07925188ef080046778d33f029cc1f229653f75f,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,786244658870707503,1713146329
0x07925188ef080046778d33f029cc1f229653f75f,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,645898067530071158,1713146329
0x07af26ee450db14a6644afb31911a2e2d2c3fdec,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,65524327876794758,1713146329
0x07af4fd19f2265f05c9aa1a16e01f9c4ee2380fa,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,119397515672797424,1713146329
